,min,max;;;;;;;;;;;;;
0,100.0,100.0;;;;;;;;;;Mój wynik min;Wynik min;Mój wynik max;Wynik max
1;100;149,5569967;;;;;;;;100,000000000271;99,999698129784;149,556996736596;149,556627578894
2;100;177,4449846;;;;;;;;100,000000005291;100,000534679574;177,444984586327;177,444826497380
3;100,0000001;197,2670231;;;;;;;;100,000000051460;100,000847333353;197,267023111175;197,267229150053
4;100,0000003;213,1528486;;;;;;;;100,000000334419;100,001167127638;213,152848562127;213,153482639837
5;100,0000016;226,6826448;;;;;;;;100,000001638240;100,001502098582;226,682644781741;226,683739863121
6;100,0000065;238,6071257;;;;;;;;100,000006471203;100,001852708951;238,607125724292;238,608698782038
7;100,0000215;249,3467524;;;;;;;;100,000021529365;100,002224105068;249,346752436003;249,348809850573
8;100,0000622;259,1651392;;;;;;;;100,000062212740;100,002630479927;259,165139249169;259,167679752177
9;100,0001598;268,2407487;;;;;;;;100,000159783387;100,003102166868;268,240748724972;268,243765488479
10;100,0003713;276,7011572;;;;;;;;100,000371344919;100,003695586475;276,701157233225;276,704639503064
11;100,0007922;284,6413422;;;;;;;;100,000792235506;100,004505607455;284,641342230633;284,645276608333
12;100,0015698;292,1342778;;;;;;;;100,001569846101;100,005679325883;292,134277784894;292,138649210002
13;100,0029175;299,2374684;;;;;;;;100,002917483838;100,007429886133;299,237468389155;299,242260871447
14;100,0051268;305,9971797;;;;;;;;100,005126797528;100,010048865646;305,997179696992;306,002376848446
15;100,0085775;312,4512881;;;;;;;;100,008577463627;100,013915925629;312,451288122525;312,456873534649
16;100,0137432;318,6312638;;;;;;;;100,013743214232;100,019504810854;318,631263797197;318,637221302136
17;100,0211938;324,5635889;;;;;;;;100,021193759708;100,027385251248;324,563588913248;324,569902759257
18;100,0315926;330,2707964;;;;;;;;100,031592614067;100,038220772626;330,270796368737;330,277451333515
19;100,0456912;335,772246;;;;;;;;100,045691200978;100,052762793295;335,772246023822;335,779227483297
20;100,0643199;341,0847153;;;;;;;;100,064319869904;100,071841634871;341,084715298127;341,092009263654
