;min;max;;;;;;;;;;;
0;100.0;100.0;;;;;;;;Mój wynik min;Wynik min;Mój wynik max;Wynik max
1;100.00000002351975;166.93576251592287;;;;;;;0,000885871746;100,000000023519;99,999114151773;166,935762515922;166,936214965114
2;100.00000035575887;207.23331991148345;;;;;;;0,001263617184;100,000000355758;99,998736738574;207,233319911483;207,232412152523
3;100.00000272671674;236.28720141764796;;;;;;;0,000866498472;100,000002726716;99,999136228244;236,287201417647;236,284848364893
4;100.00001416451425;259.4652502727547;;;;;;;0,001150673537;100,000014164514;99,998863490977;259,465250272754;259,461545429343
5;100.00005626848234;279.03116852505053;;;;;;;0,001492580788;100,000056268482;99,998563687694;279,031168525050;279,026212079258
6;100.00018281629445;296.12052790711243;;;;;;;0,001849745534;100,000182816294;99,998333070760;296,120527907112;296,114404656720
7;100.00050723320419;311.38467824067;;;;;;;0,002219462600;100,000507233204;99,998287770604;311,384678240670;311,377458043570
8;100.00123871332535;325.2351927869834;;;;;;;0,002599812210;100,001238713325;99,998638901115;325,235192786983;325,226934282314
9;100.00272278796609;337.95093990746255;;;;;;;0,002989632957;100,002722787966;99,999733155009;337,950939907462;337,941693766078
10;100.0054801806665;349.7309077968963;;;;;;;0,003388323198;100,005480180666;100,002091857468;349,730907796896;349,720718977168
11;100.01023760580489;360.72282812252814;;;;;;;0,003795626983;100,010237605804;100,006441978821;360,722828122528;360,711737318177
12;100.01794564783438;371.039864467604;;;;;;;0,004211465463;100,017945647834;100,013734182371;371,039864467604;371,027909015785
13;100.02978129666951;380.77092240441533;;;;;;;0,004635822941;100,029781296669;100,025145473728;380,770922404415;380,758136861358
14;100.04713526757698;389.9873236579961;;;;;;;0,005068678095;100,047135267576;100,042066589481;389,987323657996;389,973740177916
15;100.07158626972189;398.7472958087977;;;;;;;0,005509967361;100,071586269721;100,066076302360;398,747295808797;398,732944408431
16;100.10486561641751;407.09909116617973;;;;;;;0,005959569387;100,104865616417;100,098906047030;407,099091166179;407,083999922804
17;100.14881599719187;415.08321330187295;;;;;;;0,006417302339;100,148815997191;100,142398694852;415,083213301872;415,067408511881
18;100.20534803581596;422.73404427994785;;;;;;;0,006882928465;100,205348035815;100,198465107350;422,734044279947;422,717550593011
19;100.27639767513895;430.0810583863373;;;;;;;0,007356162285;100,276397675138;100,269041512853;430,081058386337;430,063898923412
20;100.36388667424738;437.1497437665083;;;;;;;0,007836680140;100,363886674247;100,356049994107;437,149743766508;437,131940226209
21;100.46968773559522;443.96231341858186;;;;;;;0,008324129782;100,469687735595;100,461363605813;443,962313418581;443,943886174452
22;100.595595097434;450.53826146487324;;;;;;;0,008818139260;100,595595097434;100,586776958174;450,538261464873;450,519229655006
23;100.7433008768563;456.8948039005099;;;;;;;0,009318324740;100,743300876856;100,733982552116;456,894803900509;456,875185510428
24;100.9143770417036;463.04723180751984;;;;;;;0,009824297152;100,914377041703;100,904552744551;463,047231807519;463,027043746954
25;101.11026261441029;469.0091973537893;;;;;;;0,010335667654;101,110262614410;101,099926946756;469,009197353789;468,988455527843
26;101.33225554593632;474.7929475524927;;;;;;;0,010852052019;101,332255545936;101,321403493917;474,792947552492;474,771666927611
27;101.58150861853198;480.409516971403;;;;;;;0,011373074052;101,581508618531;101,570135544479;480,409516971403;480,387711636540
28;101.85902871868707;485.8688878578013;;;;;;;0,011898368181;101,859028718687;101,847130350506;485,868887857801;485,846571081132
29;102.16567884617905;491.1801241579483;;;;;;;0,012427581337;102,165678846179;102,153251264842;491,180124157948;491,157308439459
30;102.50218227564223;496.35148444222466;;;;;;;0,012960374266;102,502182275642;102,489221901376;496,351484442224;496,328181562518
31;102.86912835153726;501.3905176497631;;;;;;;0,013496422360;102,869128351537;102,855631929177;501,390517649763;501,366738715351
32;103.2669794672496;506.304144737116;;;;;;;0,014035416117;103,266979467249;103,252944051132;506,304144737116;506,279900222497
33;103.69607884852323;511.0987286824472;;;;;;;0,014577061298;103,696078848523;103,681501787225;511,098728682447;511,074028469217
34;104.15665882692811;515.7801348088966;;;;;;;0,015121078851;104,156658826928;104,141537748077;515,780134808896;515,754988222130
35;104.64884934851645;520.3537830115341;;;;;;;0,015667204667;104,648849348516;104,633182143849;520,353783011534;520,328198853651
36;105.17268651529614;524.8246931750895;;;;;;;0,016215189198;105,172686515296;105,156471326098;524,824693175089;524,798679757426
37;105.72812100243459;529.1975248349027;;;;;;;0,016764796979;105,728121002434;105,711356205455;529,197524834902;529,171090007135
38;106.31502623246111;533.4766119467942;;;;;;;0,017315806095;106,315026232461;106,297710426366;533,476611946794;533,449763124419
39;106.93320621969461;537.6659934819991;;;;;;;0,017868007589;106,933206219694;106,915338212105;537,665993481999;537,638737671998
40;107.5824030243536;541.7694404427602;;;;;;;0,018421204866;107,582403024353;107,563981819487;541,769440442760;541,741784267583
41;108.26230377702777;545.7904797964284;;;;;;;0,018975213068;108,262303777027;108,243328563959;545,790479796428;545,762429516447
42;108.97254725111213;549.7324157461995;;;;;;;0,019529858461;108,972547251112;108,953017392651;549,732415746198;549,703977280720
43;109.7127299740843;553.5983486912655;;;;;;;0,020084977829;109,712729974084;109,692644996255;553,598348691265;553,569527638213
44;110.4824118787519;557.3911921752868;;;;;;;0,020640417883;110,482411878751;110,461771460868;557,391192175286;557,361993829661
45;111.28112150333392;561.113688077498;;;;;;;0,021196034689;111,281121503333;111,259925468644;561,113688077498;561,084117448685
46;112.10836075493118;564.7684202636483;;;;;;;0,021751693116;112,108360754931;112,086609061815;564,768420263648;564,738482091664
47;112.96360925498065;568.3578268829759;;;;;;;0,022307266305;112,963609254980;112,941301988675;568,357826882975;568,327525653718
48;113.8463282880055;571.8842114714026;;;;;;;0,022862635182;113,846328288005;113,823465652823;571,884211471402;571,853551430982
49;114.75596437664308;575.3497529992177;;;;;;;0,023417687970;114,755964376643;114,732546688673;575,349752999217;575,318738167423
50;115.69195250679581;578.7565149829948;;;;;;;0,023972319745;115,691952506795;115,667980187050;578,756514982994;578,725149165945
51;116.65371902697466;582.1064537657562;;;;;;;0,024526432014;116,653719026974;116,629192594960;582,106453765756;582,074740567812
52;117.64068424566163;585.4014260560094;;;;;;;0,025079932313;117,640684245661;117,615604313348;585,401426056009;585,369368890969
53;118.65226474992134;588.6431958048353;;;;;;;0,025632733833;118,652264749921;118,626632016088;588,643195804835;588,610797906477
54;119.68787546764123;591.8334404904043;;;;;;;0,026184755065;119,687875467641;119,661690712576;591,833440490404;591,800704922402
55;120.7469314947547;594.9737568708582;;;;;;;0,026735919476;120,746931494754;120,720195575278;594,973756870858;594,940686536128
56;121.82884970766746;598.0656662592276;;;;;;;0,027286155194;121,828849707667;121,801563552473;598,065666259227;598,032263908725
57;122.9330501799021;601.1106193677649;;;;;;;0,027835394722;122,933050179902;122,905214785180;601,110619367764;601,076887608771
58;124.05895742075043;604.1100007636217;;;;;;;0,028383574664;124,058957420750;124,030573846086;604,110000763621;604,075942067556
59;125.20600145249337;607.0651329730546;;;;;;;0,028930635475;125,206001452493;125,177070817018;607,065132973054;607,030749682831
60;126.37361874154212;609.9772802672187;;;;;;;0,029476521222;126,373618741542;126,344142220320;609,977280267218;609,942574604186
;;;;;;;;;0,013780079606;;;;
